Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
26180.946614980698	2.54745960236	1330000	1448.7	1485.4	7043	0.09424	7.925e-05
26388.389204740524	3.45371246338	1340000	1460.5	1513.4	7084	0.09352	7.900000000000001e-05
26602.146971702576	3.45371246338	1350000	1527.7	1564.8	7125	0.09280000000000001	7.875e-05
26808.893417596817	3.45371246338	1360000	1558.6	1622.5	7163	0.09208000000000001	7.850000000000001e-05
27016.06865811348	3.45371246338	1370000	1548.9	1622.5	7203	0.09136	7.825e-05
27227.788417339325	2.97196984291	1380000	1520.1	1622.5	7242	0.09064	7.8e-05
27438.56149983406	2.97196984291	1390000	1576.4	1622.5	7281	0.08992	7.775e-05
27644.115270853043	2.97196984291	1400000	1584.6	1622.5	7322	0.0892	7.75e-05
27846.478199005127	2.97196984291	1410000	1553.0	1632.0	7361	0.08848	7.725000000000001e-05
28055.726170539856	4.35757064819	1420000	1538.5	1632.0	7402	0.08776	7.7e-05
28266.16008234024	4.35757064819	1430000	1502.5	1632.0	7440	0.08704	7.675e-05
28472.682101726532	4.35757064819	1440000	1541.5	1632.0	7482	0.08632000000000001	7.65e-05
28682.990663528442	4.35757064819	1450000	1516.8	1632.0	7521	0.08560000000000001	7.625000000000001e-05
28891.871729373932	2.99995017052	1460000	1516.7	1632.0	7562	0.08488	7.6e-05
29101.18247103691	2.99995017052	1470000	1564.5	1632.0	7600	0.08416000000000001	7.575e-05
29314.52126932144	2.99995017052	1480000	1620.3	1637.3	7639	0.08344	7.55e-05
29519.331268310547	2.99995017052	1490000	1640.0	1659.7	7679	0.08272	7.525e-05
29727.941036701202	3.20128846169	1500000	1581.8	1659.7	7718	0.082	7.500000000000001e-05
29939.730459690094	3.20128846169	1510000	1634.3	1659.7	7754	0.08128	7.475e-05
30150.307579517365	3.20128846169	1520000	1576.2	1659.7	7793	0.08056	7.45e-05
30356.157850027084	3.20128846169	1530000	1610.1	1659.7	7828	0.07984	7.425e-05
30565.043871879578	2.39472699165	1540000	1562.2	1659.7	7870	0.07912	7.400000000000001e-05
30777.987493038177	2.39472699165	1550000	1593.8	1659.7	7908	0.0784	7.375e-05
30987.864661216736	2.39472699165	1560000	1688.3	1699.6	7946	0.07768	7.35e-05
31194.933210372925	2.39472699165	1570000	1659.1	1731.4	7988	0.07696	7.325e-05
31406.582090854645	3.21012830734	1580000	1514.0	1731.4	8028	0.07624	7.3e-05
31615.19395685196	3.21012830734	1590000	1494.6	1731.4	8067	0.07552	7.275e-05
31826.40953016281	3.21012830734	1600000	1632.5	1731.4	8105	0.0748	7.25e-05
32037.826779842377	3.21012830734	1610000	1771.1	1774.5	8142	0.07408000000000001	7.225e-05
32243.501210927963	3.21260714531	1620000	1816.3	1819.9	8179	0.07336000000000001	7.2e-05
32452.462743282318	3.21260714531	1630000	1682.0	1819.9	8217	0.07264000000000001	7.175000000000001e-05
32658.43708205223	3.21260714531	1640000	1694.6	1819.9	8252	0.07192	7.15e-05
32866.23993849754	3.21260714531	1650000	1673.1	1819.9	8290	0.0712	7.125000000000001e-05
33075.50684905052	2.95858693123	1660000	1684.5	1819.9	8327	0.07048	7.1e-05
33280.46270561218	2.95858693123	1670000	1608.9	1819.9	8366	0.06976	7.075000000000001e-05
33484.68387174606	2.95858693123	1680000	1616.7	1819.9	8404	0.06904	7.05e-05
33694.812339544296	2.95858693123	1690000	1705.1	1819.9	8441	0.06832	7.025e-05
33904.298310279846	2.17961144447	1700000	1755.5	1819.9	8477	0.0676	7.000000000000001e-05
34105.84898972511	2.17961144447	1710000	1814.1	1819.9	8514	0.06688	6.975e-05
34313.925174474716	2.17961144447	1720000	1767.1	1819.9	8552	0.06616	6.950000000000001e-05
34519.47880077362	2.17961144447	1730000	1818.2	1828.4	8587	0.06544	6.925e-05
34722.84720492363	2.49534964561	1740000	1909.1	1909.1	8625	0.06472	6.9e-05
